ID;Tiempo (min)
35499;19
66378;36
48955;26
17930;22
87978;23
22987;15
52154;53
55373;53
33455;17
43055;54
24356;13
27603;16
16806;49
14028;38
70922;21
23956;43
50362;90
85473;46
75017;19
73394;59
69975;135
66909;16
15506;28
30954;35
50464;80
87563;71
71595;43
80919;7
89859;27
17739;34
35474;72
15124;48
85412;39
51599;39
85681;45
89419;13
86759;33
47495;52
41864;30
45493;14
18374;18
59310;44
36802;191
49824;23
52521;43
73550;52
42149;38
31492;24
27887;54
42099;26
46562;16
37613;91
58268;64
21201;18
87955;53
43382;28
45964;45
36862;65
47863;13
72846;24
73000;24
66053;19
80203;24
39252;17
84545;18
71430;14
38669;27
82346;6
11817;45
36982;57
35258;42
48563;31
32930;45
15434;7
81068;82
33275;12
35501;36
34146;231
36720;20
61497;48
21801;52
53368;13
27376;80
28074;42
37708;17
72474;11
56080;10
26085;46
52510;18
18633;25
68399;49
87457;19
39559;65
50015;61
89764;13
29850;50
54132;52
44894;51
38644;17
36341;38
59187;37
26037;102
72837;80
75423;26
55296;113
49125;14
29357;76
58550;36
89879;17
27529;14
24426;11
76713;51
50876;30
34259;8
37073;28
21779;55
68007;156
29463;69
80890;24
71864;25
60878;47
12098;19
45805;21
55737;54
70764;73
24207;6
66258;39
51378;105
17713;46
73122;8
41565;69
25590;113
56843;33
27960;50
36192;19
16373;27
79585;14
79571;21
69066;19
11476;39
15906;49
79002;41
75643;5
24774;20
40889;84
81252;176
21245;67
63266;45
77779;9
59365;17
30368;67
16468;34
10698;20
39449;54
55288;59
32731;18
69354;45
34574;37
34566;22
78638;24
10908;12
53300;29
29134;20
44737;26
19855;81
21846;63
65294;19
16360;68
21447;27
67310;57
44261;26
30480;41
73248;239
40621;37
18572;37
66673;36
51719;81
85698;60
77845;18
17783;19
42609;46
67946;71
72016;21
55441;52
36466;41
50062;39
32768;63
13854;45
87471;60
80157;46
43403;45
67257;75
22038;135
70577;48
86664;23
66635;28
85508;9
26805;53
57629;15
65966;41
69136;14
47762;140
80965;38
50079;87
33999;37
21833;51
40337;31
54387;41
50295;67
37395;100
50289;73
32461;83
41896;65
43510;57
81566;62
29127;65
85091;92
57596;10
51490;155
47056;40
38123;67
45749;62
61559;23
40719;13
84002;15
14290;10
77356;9
20124;35
73047;29
25446;78
61206;32
85734;19
60902;7
36903;83
70970;64
35708;34
61873;35
35248;13
71531;12
37494;46
50405;52
88105;19
39765;43
45412;13
53960;27
42474;9
50011;51
21345;100
61738;92
11823;82
57765;73
24856;32
26059;13
15928;106
15216;65
49382;14
63612;20
48003;30
18729;40
82372;35
54717;13
72180;41
71540;3
83398;58
31750;34
33510;35
72008;7
32036;26
80720;65
49092;37
70121;26
19402;74
71748;43
52537;28
80446;68
57833;13
41934;62
38530;75
38409;43
19376;50
38999;29
21213;130
67448;48
52899;47
10987;40
58171;23
53561;38
69942;18
43456;73
50735;35
50369;63
18794;11
31679;30
67785;53
38351;22
85201;66
14110;23
49220;26
13484;21
66528;18
24115;42
25786;14
86996;50
39643;43
46373;35
81479;19
54943;4
18397;108
61918;33
11489;16
55387;101
69750;61
61690;7
66743;22
65647;17
55372;57
70287;93
71769;14
55736;104
76078;191
70929;56
32889;140
43849;11
65384;86
85121;61
53271;16
18820;27
46376;27
37638;83
41369;8
23211;11
12690;17
81710;15
64912;56
58993;38
83106;11
65724;49
50340;33
36011;67
30320;29
16675;54
10106;39
11541;111
17110;118
81962;27
21023;32
22767;39
59335;26
24903;56
67940;16
15756;14
26088;44
71587;26
86000;43
47804;17
22091;33
36529;36
44472;45
35676;147
71662;26
13846;3
89843;33
60757;23
59937;51
54135;25
27310;33
23200;32
44911;8
14774;68
47818;87
77272;128
23736;54
66693;13
89524;27
16020;50
46510;43
63527;55
37772;42
42972;30
38543;25
48002;119
58692;80
73764;10
32766;14
63446;42
27806;16
87772;76
19159;45
62913;60
57527;21
62235;21
44685;30
36949;20
21341;54
61206;51
10877;4
76326;34
62880;30
53187;62
85135;29
88980;76
45197;17
21100;54
57037;19
56493;55
20418;50
62471;60
60883;94
21240;44
73057;34
31904;31
54566;76
12812;19
13149;39
45962;17
36960;22
59516;28
52588;71
10459;55
42253;69
25033;44
64369;35
58038;5
14230;76
44011;26
73697;24
65777;25
16149;12
15381;62
20907;96
57246;12
51041;78
71419;10
10784;31
11412;60
23231;27
89974;14
42893;65
55940;32
73824;61
11218;34
11578;13
84564;80
24058;13
16005;75
57907;46
38347;53
29259;24
80926;51
30029;145
56753;35
16551;24
80115;31
67971;30
78582;42
83897;86
67964;45
82004;28
42490;67
63839;14
38237;73
29815;31
30306;44
43853;28
68496;25
47773;21
81582;35
72318;28
71347;49
77419;33
14210;64
37253;21
13754;29
88328;63
74611;19
25603;27
28165;33
75146;34
42985;140
27011;20
88973;92
85655;49
69143;55
27032;37
66887;56
11681;16
21777;36
19379;86
43850;10
44829;42
84099;14
35201;70
46666;8
11462;65
35752;18
17592;81
40063;16
42937;43
58001;12
37825;55
15956;74
51323;27
15152;51
69361;80
17913;19
40605;64
81259;29
25123;58
38105;16
75626;20
22713;21
62554;36
47510;28
15712;20
18248;28
58342;48
33313;42
40400;46
37455;28
50829;31
59095;21
25791;14
32775;184
37105;88
19245;35
49007;17
60829;37
34641;9
48428;31
59536;24
23486;37
23299;17
69725;45
35297;32
56776;39
79618;19
66991;73
59446;33
70766;35
53008;22
51396;11
60649;19
34657;32
52036;53
79466;39
14560;19
19240;9
47938;18
;
;
;
;
;
;
;
