;min;mean;max;best;generacion
0;224.7367119421785;1108.4889811324756;2900.1448879217965;[3, 7, 13, 6, 15, 10, 10, 14, 0];[[3, 7, 13, 6, 13, 10, 11, 14, 0], [5, 6, 14, 5, 15, 10, 10, 14, 0], [3, 7, 13, 6, 13, 10, 10, 16, 0], [4, 6, 14, 5, 15, 10, 10, 14, 0], [5, 6, 14, 5, 14, 10, 10, 17, 0], [4, 6, 14, 5, 13, 10, 11, 14, 0], [3, 7, 13, 6, 15, 10, 12, 14, 0], [5, 6, 14, 6, 13, 10, 11, 14, 0], [4, 6, 14, 5, 14, 10, 10, 16, 0], [3, 7, 13, 6, 13, 10, 11, 14, 0], [5, 6, 14, 5, 15, 10, 10, 14, 0], [3, 7, 13, 6, 13, 10, 10, 16, 0], [4, 6, 14, 5, 15, 10, 10, 14, 0], [5, 6, 14, 5, 14, 10, 10, 17, 0], [4, 6, 14, 5, 13, 10, 11, 14, 0], [3, 7, 13, 6, 15, 10, 12, 14, 0], [5, 6, 14, 6, 13, 10, 11, 14, 0]] 
1;213.45600809695017;357.43107043828536;876.7093451014634;[3, 7, 13, 6, 13, 10, 11, 14, 0];[[3, 7, 13, 5, 13, 10, 11, 14, 0], [3, 7, 13, 6, 13, 10, 11, 18, 0], [3, 7, 13, 6, 13, 10, 10, 16, 0], [3, 7, 13, 6, 13, 10, 11, 18, 0], [3, 7, 13, 5, 13, 10, 10, 16, 0], [3, 7, 13, 6, 13, 10, 11, 14, 0], [3, 7, 13, 6, 13, 10, 11, 14, 0], [3, 7, 13, 6, 13, 10, 11, 14, 0], [3, 7, 13, 6, 12, 10, 10, 16, 0], [3, 7, 13, 5, 13, 10, 11, 14, 0], [3, 7, 13, 6, 13, 10, 11, 18, 0], [3, 7, 13, 6, 13, 10, 11, 18, 0], [3, 7, 13, 5, 13, 10, 10, 16, 0], [3, 7, 13, 6, 12, 10, 10, 16, 0]] 
2;213.45600809695017;502.13095630914984;1208.2377989899664;[3, 7, 13, 6, 13, 10, 11, 14, 0];[[3, 7, 12, 6, 13, 10, 11, 14, 0], [3, 7, 13, 6, 13, 9, 11, 14, 0], [3, 7, 13, 6, 13, 10, 11, 14, 0], [3, 7, 13, 6, 13, 10, 11, 16, 0], [3, 7, 12, 6, 13, 10, 11, 14, 0], [3, 7, 13, 6, 13, 10, 11, 14, 0], [3, 7, 13, 6, 13, 10, 11, 14, 0], [3, 7, 13, 6, 13, 10, 11, 14, 0], [3, 7, 13, 6, 13, 10, 11, 14, 0], [3, 7, 12, 6, 13, 10, 11, 14, 0], [3, 7, 13, 6, 13, 9, 11, 14, 0], [3, 7, 13, 6, 13, 10, 11, 16, 0], [3, 7, 12, 6, 13, 10, 11, 14, 0]] 
3;208.92226192312825;265.400636535588;539.8653757588592;[3, 7, 12, 6, 13, 10, 11, 14, 0];[[3, 7, 15, 6, 13, 10, 11, 14, 0], [5, 7, 12, 6, 13, 10, 11, 14, 0], [3, 7, 12, 6, 13, 10, 11, 14, 1], [4, 7, 12, 6, 13, 10, 11, 14, 0], [3, 7, 12, 6, 13, 10, 11, 14, 0], [3, 7, 12, 6, 13, 10, 11, 14, 0], [5, 7, 12, 6, 13, 10, 11, 14, 0], [3, 6, 12, 6, 13, 10, 11, 14, 0], [5, 7, 12, 6, 13, 10, 11, 14, 0], [3, 7, 15, 6, 13, 10, 11, 14, 0], [5, 7, 12, 6, 13, 10, 11, 14, 0], [3, 7, 12, 6, 13, 10, 11, 14, 1], [4, 7, 12, 6, 13, 10, 11, 14, 0], [5, 7, 12, 6, 13, 10, 11, 14, 0], [3, 6, 12, 6, 13, 10, 11, 14, 0], [5, 7, 12, 6, 13, 10, 11, 14, 0]] 
4;208.92226192312825;491.7839331780742;1985.7921794481017;[3, 7, 12, 6, 13, 10, 11, 14, 0];[[3, 6, 12, 6, 13, 10, 11, 14, 0], [3, 7, 12, 6, 13, 10, 11, 17, 0], [3, 7, 12, 6, 13, 10, 10, 14, 0], [4, 7, 12, 6, 13, 9, 11, 14, 0], [3, 7, 12, 6, 13, 10, 11, 14, 0], [4, 7, 12, 6, 13, 10, 11, 18, 0], [3, 7, 12, 6, 13, 10, 11, 16, 0], [3, 7, 12, 6, 12, 10, 11, 14, 0], [4, 7, 12, 6, 13, 10, 11, 14, 0], [3, 7, 12, 6, 13, 10, 11, 17, 0], [3, 7, 12, 6, 13, 10, 10, 14, 0], [4, 7, 12, 6, 13, 9, 11, 14, 0], [4, 7, 12, 6, 13, 10, 11, 18, 0], [3, 7, 12, 6, 13, 10, 11, 16, 0], [3, 7, 12, 6, 12, 10, 11, 14, 0]] 
5;208.92226192312825;355.1316830055165;867.8157869075787;[3, 7, 12, 6, 13, 10, 11, 14, 0];[[3, 8, 12, 6, 13, 10, 10, 14, 0], [3, 7, 12, 6, 13, 10, 11, 14, 0], [3, 6, 12, 6, 13, 10, 10, 14, 0], [3, 7, 12, 6, 13, 10, 11, 14, 0], [3, 7, 12, 6, 13, 10, 10, 17, 0], [3, 7, 12, 6, 13, 10, 10, 14, 0], [3, 7, 12, 6, 13, 10, 11, 14, 0], [3, 5, 12, 6, 13, 8, 10, 14, 0], [3, 5, 12, 6, 13, 8, 10, 14, 0], [3, 8, 12, 6, 13, 10, 10, 14, 0], [3, 6, 12, 6, 13, 10, 10, 14, 0], [3, 7, 12, 6, 13, 10, 10, 17, 0], [3, 5, 12, 6, 13, 8, 10, 14, 0], [3, 5, 12, 6, 13, 8, 10, 14, 0]] 
6;208.92226192312825;298.331572787584;424.46100726695016;[3, 7, 12, 6, 13, 10, 11, 14, 0];[[3, 7, 12, 6, 13, 10, 11, 14, 0], [3, 7, 12, 6, 13, 10, 11, 17, 0], [3, 5, 12, 6, 13, 10, 11, 14, 0], [3, 7, 12, 6, 15, 10, 11, 14, 0], [3, 7, 13, 6, 13, 10, 11, 14, 0], [3, 7, 12, 6, 13, 10, 11, 14, 0], [3, 7, 12, 6, 13, 10, 11, 14, 0], [3, 7, 12, 6, 13, 10, 11, 14, 0], [3, 7, 12, 5, 13, 10, 11, 14, 0], [3, 5, 12, 6, 13, 10, 11, 14, 0], [3, 7, 12, 6, 15, 10, 11, 14, 0], [3, 7, 12, 5, 13, 10, 11, 14, 0]] 
7;208.92226192312825;276.36475135732906;530.1559413866739;[3, 7, 12, 6, 13, 10, 11, 14, 0];[[3, 7, 12, 6, 13, 9, 11, 14, 0], [3, 7, 12, 6, 13, 10, 11, 14, 0], [3, 7, 12, 6, 14, 10, 11, 14, 0], [3, 7, 12, 6, 13, 10, 11, 14, 0], [3, 7, 12, 5, 13, 10, 11, 14, 0], [3, 7, 12, 6, 13, 10, 11, 16, 0], [3, 7, 12, 6, 15, 10, 11, 14, 0], [3, 7, 12, 6, 13, 10, 11, 16, 0], [3, 7, 12, 6, 13, 10, 11, 14, 0], [3, 7, 12, 6, 13, 9, 11, 14, 0], [3, 7, 12, 6, 14, 10, 11, 14, 0]] 
8;208.92226192312825;221.1201425954938;241.39173765656668;[3, 7, 12, 6, 13, 10, 11, 14, 0];[[3, 7, 12, 6, 13, 10, 11, 14, 1], [3, 7, 12, 5, 13, 10, 11, 14, 0], [3, 7, 12, 6, 13, 10, 11, 15, 0], [3, 7, 13, 6, 13, 10, 11, 14, 0], [3, 7, 12, 6, 13, 10, 12, 14, 0], [3, 8, 12, 6, 13, 10, 11, 14, 0], [3, 7, 12, 5, 13, 10, 11, 14, 0], [3, 7, 12, 6, 13, 10, 11, 14, 0], [3, 8, 12, 6, 13, 10, 11, 14, 0], [3, 7, 12, 6, 13, 10, 11, 15, 0], [3, 7, 12, 6, 13, 10, 12, 14, 0], [3, 8, 12, 6, 13, 10, 11, 14, 0], [3, 8, 12, 6, 13, 10, 11, 14, 0]] 
9;208.92226192312825;490.768926887367;1985.7921794481017;[3, 7, 12, 6, 13, 10, 11, 14, 0];[[5, 7, 12, 6, 13, 10, 11, 14, 0], [3, 7, 12, 5, 13, 10, 11, 14, 0], [3, 7, 14, 6, 13, 10, 11, 14, 0], [3, 7, 12, 5, 13, 10, 11, 14, 0], [3, 7, 12, 5, 13, 10, 11, 14, 0], [3, 7, 12, 5, 13, 10, 11, 14, 0], [3, 7, 12, 6, 14, 10, 11, 14, 0], [3, 7, 12, 5, 13, 10, 11, 14, 0], [3, 7, 14, 5, 13, 10, 11, 14, 0], [3, 7, 14, 6, 13, 10, 11, 14, 0], [3, 7, 14, 5, 13, 10, 11, 14, 0]] 
